string,frequency
org,154
net,139
com,138
edu,130
gov,130
co,62
mil,62
ac,46
info,33
biz,24
nom,17
gob,16
int,15
name,15
sch,13
or,12
pro,12
web,12
tv,11
asso,10
go,10
med,10
tm,10
coop,9
id,9
me,9
sc,8
art,7
gouv,6
ai,5
firm,5
in,5
ind,5
k12,5
ltd,5
ne,5
store,5
eng,4
gen,4
i,4
mobi,4
pr,4
press,4
rec,4
agro,3
arts,3
b,3
ed,3
fin,3
hotel,3
ia,3
inf,3
io,3
it,3
media,3
ms,3
ngo,3
nic,3
nt,3
pa,3
pe,3
per,3
perso,3
plc,3
pol,3
prd,3
priv,3
sa,3
school,3
shop,3
tec,3
tourism,3
tur,3
us,3
公司,3
網絡,3
a,2
adm,2
adv,2
al,2
alt,2
am,2
ap,2
asn,2
bar,2
bet,2
bib,2
blog,2
c,2
ca,2
club,2
cn,2
conf,2
cpa,2
cri,2
d,2
dr,2
e,2
eco,2
es,2
f,2
fm,2
fot,2
g,2
gv,2
h,2
health,2
hi,2
idv,2
k,2
ks,2
l,2
law,2
lib,2
m,2
ma,2
mi,2
mo,2
mt,2
mus,2
museum,2
musica,2
n,2
nat,2
nc,2
nm,2
nome,2
ntr,2
o,2
p,2
pb,2
pp,2
presse,2
prof,2
pub,2
publ,2
pvt,2
r,2
rel,2
rep,2
res,2
rio,2
s,2
sd,2
seg,2
sex,2
sld,2
soc,2
sport,2
t,2
taxi,2
travel,2
u,2
univ,2
vet,2
w,2
wa,2
wiki,2
www,2
x,2
y,2
z,2
zp,2
個人,2
政府,2
教育,2
組織,2
网络,2
0,1
1,1
2,1
2000,1
3,1
4,1
5,1
5g,1
6,1
6g,1
7,1
8,1
9,1
9guacu,1
aaa,1
ab,1
abc,1
abg,1
abo,1
aca,1
academia,1
accident-investigation,1
accident-prevention,1
acct,1
act,1
adult,1
aero,1
aerobatic,1
aeroclub,1
aerodrome,1
africa,1
agents,1
agr,1
agrar,1
agri,1
agric,1
agron,1
ah,1
aid,1
aip,1
air-surveillance,1
air-traffic-control,1
aircraft,1
airline,1
airport,1
airtraffic,1
aju,1
ak,1
aland,1
ambulance,1
anani,1
angiang,1
ann-arbor,1
aparecida,1
api,1
app,1
ar,1
architectes,1
arq,1
arqt,1
arte,1
as,1
ass,1
assn,1
association,1
assur,1
atm,1
ato,1
augustow,1
author,1
auto,1
av,1
avocat,1
avocats,1
avoues,1
az,1
aéroport,1
ba,1
babia-gora,1
bacgiang,1
backan,1
baclieu,1
bacninh,1
ballooning,1
bank,1
baria-vungtau,1
barueri,1
bbs,1
bc,1
bd,1
bedzin,1
bel,1
belem,1
bentre,1
beskidy,1
bhz,1
bialowieza,1
bialystok,1
bielawa,1
bieszczady,1
bihar,1
binhdinh,1
binhduong,1
binhphuoc,1
binhthuan,1
bio,1
bj,1
bmd,1
boavista,1
boleslawiec,1
bolivia,1
bolt,1
brand,1
broker,1
bsb,1
busan,1
business,1
bydgoszcz,1
bytom,1
caa,1
camau,1
campinagrande,1
campinas,1
cantho,1
caobang,1
cargo,1
casino,1
catering,1
catholic,1
caxias,1
cc,1
cci,1
ce,1
certification,1
championship,1
charter,1
chef,1
cherkassy,1
cherkasy,1
chernigov,1
chernihiv,1
chernivtsi,1
chernovtsy,1
chtr,1
chungbuk,1
chungnam,1
ciencia,1
cieszyn,1
cim,1
city,1
civilaviation,1
ck,1
cng,1
cnt,1
cog,1
commune,1
conference,1
consulado,1
consultant,1
consulting,1
cont,1
contagem,1
control,1
cooperativa,1
council,1
coz,1
cq,1
cr,1
crew,1
crimea,1
cs,1
ct,1
cue,1
cuiaba,1
curitiba,1
cv,1
czeladz,1
czest,1
daegu,1
daejeon,1
daklak,1
daknong,1
danang,1
dc,1
de,1
def,1
delhi,1
democracia,1
dent,1
deporte,1
des,1
desa,1
design,1
det,1
dev,1
df,1
dgca,1
dgn,1
dienbien,1
disco,1
dlugoleka,1
dn,1
dnepropetrovsk,1
dni,1
dnipropetrovsk,1
doc,1
donetsk,1
dongnai,1
dongthap,1
dp,1
dst,1
e12,1
e164,1
eaton,1
ebiz,1
ecn,1
ecologia,1
econo,1
economia,1
educator,1
ekloges,1
elblag,1
elk,1
emb,1
embaixada,1
emergency,1
emp,1
emprende,1
empresa,1
enf,1
engine,1
engineer,1
ens,1
entertainment,1
equipment,1
er,1
erotica,1
erotika,1
